---
Name: Pathfinder-RPG.familiers-speciaux-des-routes-vers-laventure
Title: familiers spéciaux des routes vers l'aventure
LastModified: 2012-04-29 12:59
---


Familiar	Statistics	Special Ability
Dodo	Dodo	Master gains a +4 bonus on initiative checks
Dwarf caiman	Dwarf caiman	Master gains a +3 bonus on Stealth checks
Giant isopod	Giant isopod	Master gains a +1 natural armor bonus to AC
Marine iguana    	Dwarf caiman	Master gains a +3 bonus on Swim checks
Mongoose	Weasel	Master gains a +2 bonus on Fortitude saves
Osprey	Hawk	Master gains a +3 bonus on Survival checks
Parrot	Raven	Master gains a +3 bonus on Linguistics checks
Toucan	Raven (cannot speak)    	Master gains a +3 bonus on Diplomacy checks
Sea krait	Viper	Master gains a +2 bonus on Fortitude saves
Seal	Seal	Master gains a +3 bonus on Swim checks
Snail kite	Hawk	Master gains a +3 bonus on Fly checks
